Country ISO,Region
ABW,Latin America and the Caribbean
AFG,Southern Asia
AGO,Sub-Saharan Africa
AIA,Latin America and the Caribbean
ALB,Europe
AND,Europe
ARE,Western Asia
ARG,Latin America and the Caribbean
ARM,Western Asia
ASM,Oceania
ATG,Latin America and the Caribbean
AUS,Oceania
AUT,Europe
AZE,Western Asia
BDI,Sub-Saharan Africa
BEL,Europe
BEN,Sub-Saharan Africa
BES,Latin America and the Caribbean
BFA,Sub-Saharan Africa
BGD,Southern Asia
BGR,Europe
BHR,Western Asia
BHS,Latin America and the Caribbean
BIH,Europe
BLR,Europe
BLZ,Latin America and the Caribbean
BMU,Northern America
BOL,Latin America and the Caribbean
BRA,Latin America and the Caribbean
BRB,Latin America and the Caribbean
BRN,South-eastern Asia
BTN,Southern Asia
BWA,Sub-Saharan Africa
CAF,Sub-Saharan Africa
CAN,Northern America
CHE,Europe
CHL,Latin America and the Caribbean
CHN,Eastern Asia
CIV,Sub-Saharan Africa
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
COG,Sub-Saharan Africa
COK,Oceania
COL,Latin America and the Caribbean
COM,Sub-Saharan Africa
CPV,Sub-Saharan Africa
CRI,Latin America and the Caribbean
CUB,Latin America and the Caribbean
CUW,Latin America and the Caribbean
CYM,Latin America and the Caribbean
CYP,Western Asia
CZE,Europe
DEU,Europe
DJI,Sub-Saharan Africa
DMA,Latin America and the Caribbean
DNK,Europe
DOM,Latin America and the Caribbean
DZA,Northern Africa
ECU,Latin America and the Caribbean
EGY,Northern Africa
ERI,Sub-Saharan Africa
ESH,Northern Africa
ESP,Europe
EST,Europe
ETH,Sub-Saharan Africa
FIN,Europe
FJI,Oceania
FLK,Latin America and the Caribbean
FRA,Europe
FRO,Europe
FSM,Oceania
GAB,Sub-Saharan Africa
GBR,Europe
GEO,Western Asia
GHA,Sub-Saharan Africa
GIB,Europe
GIN,Sub-Saharan Africa
GLP,Latin America and the Caribbean
GMB,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
GRC,Europe
GRD,Latin America and the Caribbean
GRL,Northern America
GTM,Latin America and the Caribbean
GUF,Latin America and the Caribbean
GUM,Oceania
GUY,Latin America and the Caribbean
HKG,Eastern Asia
HND,Latin America and the Caribbean
HRV,Europe
HTI,Latin America and the Caribbean
HUN,Europe
IDN,South-eastern Asia
IMN,Europe
IND,Southern Asia
IRL,Europe
IRN,Southern Asia
IRQ,Western Asia
ISL,Europe
ISR,Western Asia
ITA,Europe
JAM,Latin America and the Caribbean
JOR,Western Asia
JPN,Eastern Asia
KAZ,Central Asia
KEN,Sub-Saharan Africa
KGZ,Central Asia
KHM,South-eastern Asia
KIR,Oceania
KNA,Latin America and the Caribbean
KOR,Eastern Asia
KWT,Western Asia
LAO,South-eastern Asia
LBN,Western Asia
LBR,Sub-Saharan Africa
LBY,Northern Africa
LCA,Latin America and the Caribbean
LIE,Europe
LKA,Southern Asia
LSO,Sub-Saharan Africa
LTU,Europe
LUX,Europe
LVA,Europe
MAC,Eastern Asia
MAR,Northern Africa
MCO,Europe
MDA,Europe
MDG,Sub-Saharan Africa
MDV,Southern Asia
MEX,Latin America and the Caribbean
MHL,Oceania
MKD,Europe
MLI,Sub-Saharan Africa
MLT,Europe
MMR,South-eastern Asia
MNE,Europe
MNG,Eastern Asia
MNP,Oceania
MOZ,Sub-Saharan Africa
MRT,Sub-Saharan Africa
MSR,Latin America and the Caribbean
MTQ,Latin America and the Caribbean
MUS,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,South-eastern Asia
MYT,Sub-Saharan Africa
NAM,Sub-Saharan Africa
NCL,Oceania
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
NIC,Latin America and the Caribbean
NIU,Oceania
NLD,Europe
NOR,Europe
NPL,Southern Asia
NRU,Oceania
NZL,Oceania
OMN,Western Asia
PAK,Southern Asia
PAN,Latin America and the Caribbean
PER,Latin America and the Caribbean
PHL,South-eastern Asia
PLW,Oceania
PNG,Oceania
POL,Europe
PRI,Latin America and the Caribbean
PRK,Eastern Asia
PRT,Europe
PRY,Latin America and the Caribbean
PSE,Western Asia
PYF,Oceania
QAT,Western Asia
REU,Sub-Saharan Africa
ROU,Europe
RUS,Europe
RWA,Sub-Saharan Africa
SAU,Western Asia
SDN,Northern Africa
SEN,Sub-Saharan Africa
SGP,South-eastern Asia
SHN,Sub-Saharan Africa
SLB,Oceania
SLE,Sub-Saharan Africa
SLV,Latin America and the Caribbean
SMR,Europe
SOM,Sub-Saharan Africa
SPM,Northern America
SRB,Europe
SSD,Sub-Saharan Africa
STP,Sub-Saharan Africa
SUR,Latin America and the Caribbean
SVK,Europe
SVN,Europe
SWE,Europe
SWZ,Sub-Saharan Africa
SXM,Latin America and the Caribbean
SYC,Sub-Saharan Africa
SYR,Western Asia
TCA,Latin America and the Caribbean
TCD,Sub-Saharan Africa
TGO,Sub-Saharan Africa
THA,South-eastern Asia
TJK,Central Asia
TKL,Oceania
TKM,Central Asia
TLS,South-eastern Asia
TON,Oceania
TTO,Latin America and the Caribbean
TUN,Northern Africa
TUR,Western Asia
TUV,Oceania
TZA,Sub-Saharan Africa
UGA,Sub-Saharan Africa
UKR,Europe
URY,Latin America and the Caribbean
USA,Northern America
UZB,Central Asia
VCT,Latin America and the Caribbean
VEN,Latin America and the Caribbean
VGB,Latin America and the Caribbean
VIR,Latin America and the Caribbean
VNM,South-eastern Asia
VUT,Oceania
WLF,Oceania
WSM,Oceania
YEM,Western Asia
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
